d,BD6,DF132,LD12,KD42
628,11221,12264,10897,12177
629,11229,12283,10913,12194
630,11239,12301,10930,12211
631,11252,12319,10947,12228
632,11270,12338,10964,12248
633,11293,12358,10981,12269
634,11320,12381,10998,12291
635,11349,12404,11015,12315
636,11380,12428,11034,12338
637,11410,12451,11054,12360
638,11438,12473,11076,12382
639,11465,12494,11097,12403
640,11491,12514,11119,12424
641,11515,12535,11140,12445
642,11538,12556,11161,12467
643,11561,12576,11181,12490
644,11582,12595,11201,12513
645,11602,12613,11220,12534
646,11620,12630,11237,12555
647,11637,12647,11254,12574
648,11652,12665,11271,12593
649,11668,12685,11288,12611
650,11687,12707,11306,12630
651,11707,12730,11326,12650
652,11730,12753,11347,12670
653,11755,12775,11369,12691
654,11780,12796,11390,12713
655,11804,12817,11410,12735
656,11826,12839,11429,12759
657,11846,12865,11448,12783
658,11865,12894,11467,12808
659,11883,12927,11486,12832
660,11900,12961,11507,12855
661,11917,12994,11528,12877
662,11935,13023,11549,12898
663,11954,13047,11570,12918
664,11973,13065,11589,12939
665,11993,13080,11608,12959
666,12014,13093,11627,12978
667,12035,13107,11648,12997
668,12056,13124,11670,13015
669,12077,13143,11694,13035
670,12099,13165,11719,13056
671,12120,13189,11744,13081
672,12142,13214,11769,13107
673,12164,13238,11792,13135
674,12186,13263,11814,13164
675,12208,13286,11834,13191
676,12231,13309,11852,13216
677,12253,13331,11869,13240
678,12274,13351,11886,13262
679,12296,13370,11904,13283
680,12317,13387,11922,13304
681,12339,13405,11941,13324
682,12361,13424,11961,13344
683,12384,13446,11982,13364
684,12407,13472,12002,13384
685,12430,13501,12023,13403
686,12453,13531,12044,13421
687,12475,13563,12065,13441
688,12496,13593,12085,13462
689,12517,13623,12106,13485
690,12538,13652,12128,13512
691,12559,13679,12151,13542
692,12582,13705,12176,13573
693,12608,13730,12202,13605
694,12634,13753,12230,13635
695,12661,13775,12257,13662
696,12688,13796,12283,13687
697,12714,13817,12307,13709
698,12738,13838,12331,13731
699,12761,13860,12353,13752
700,12784,13884,12376,13775
701,12809,13910,12399,13800
702,12835,13937,12422,13827
703,12863,13964,12446,13856
704,12891,13990,12471,13886
705,12919,14015,12495,13916
706,12945,14038,12520,13944
707,12970,14060,12546,13971
708,12993,14083,12572,13997
709,13016,14107,12597,14022
710,13039,14134,12621,14047
711,13062,14163,12645,14073
712,13086,14194,12667,14098
713,13111,14225,12689,14122
714,13135,14254,12710,14144
715,13158,14280,12730,14164
716,13180,14303,12750,14183
717,13201,14323,12768,14200
718,13221,14340,12785,14216
719,13240,14356,12802,14231
720,13258,14371,12817,14247
721,13276,14385,12832,14264
722,13296,14400,12847,14282
723,13316,14415,12863,14302
724,13338,14431,12879,14323
725,13360,14449,12896,14345
726,13382,14468,12913,14366
727,13403,14488,12931,14386
728,13422,14509,12949,14405
729,13439,14530,12968,14423
730,13455,14551,12986,14439
731,13470,14571,13003,14455
732,13485,14590,13020,14470
733,13502,14609,13036,14484
734,13518,14627,13051,14498
735,13534,14645,13065,14511
736,13549,14664,13081,14525
737,13564,14683,13097,14540
738,13580,14703,13116,14558
739,13598,14723,13137,14578
740,13618,14744,13160,14602
741,13641,14766,13184,14629
742,13667,14790,13209,14658
743,13695,14817,13234,14688
744,13722,14847,13258,14719
745,13750,14877,13282,14748
746,13777,14907,13305,14777
747,13804,14935,13329,14805
748,13830,14962,13352,14834
749,13856,14987,13376,14863
750,13882,15011,13400,14893
751,13909,15035,13425,14923
752,13936,15062,13451,14952
753,13964,15090,13478,14979
754,13993,15120,13507,15005
755,14021,15150,13536,15031
756,14049,15179,13565,15058
757,14077,15208,13594,15087
758,14104,15236,13623,15116
759,14131,15265,13650,15144
760,14158,15294,13677,15173
761,14186,15323,13703,15200
762,14215,15353,13728,15227
763,14244,15382,13752,15253
764,14273,15410,13777,15279
765,14302,15436,13802,15305
766,14329,15460,13827,15329
767,14355,15484,13852,15353
768,14379,15508,13877,15376
769,14401,15533,13901,15400
770,14422,15558,13924,15424
771,14442,15583,13945,15449
772,14461,15606,13965,15473
773,14479,15626,13982,15496
774,14496,15642,13999,15516
775,14512,15656,14013,15534
776,14527,15669,14027,15548
777,14541,15681,14039,15559
778,14554,15695,14052,15569
779,14567,15710,14064,15578
780,14580,15727,14077,15589
781,14594,15745,14090,15600
782,14609,15765,14103,15614
783,14625,15785,14117,15630
784,14642,15804,14132,15647
785,14660,15824,14148,15666
786,14678,15842,14166,15687
787,14696,15861,14186,15709
788,14714,15879,14207,15734
789,14734,15897,14229,15759
790,14754,15916,14251,15785
791,14775,15934,14272,15810
792,14796,15953,14290,15833
793,14817,15973,14307,15854
794,14837,15994,14322,15872
795,14855,16016,14336,15889
796,14872,16040,14351,15904
797,14889,16064,14366,15919
798,14907,16088,14383,15935
799,14927,16112,14402,15953
800,14949,16136,14422,15974
801,14973,16159,14443,15997
802,14997,16182,14463,16022
803,15020,16206,14483,16048
804,15043,16229,14503,16072
805,15063,16252,14524,16094
806,15081,16274,14544,16113
807,15097,16295,14565,16131
808,15112,16313,14584,16147
809,15128,16330,14602,16164
810,15145,16345,14621,16183
811,15166,16362,14640,16203
812,15189,16380,14660,16224
813,15216,16403,14682,16247
814,15243,16430,14705,16270
815,15270,16459,14730,16293
816,15297,16490,14756,16317
817,15325,16520,14783,16343
818,15354,16548,14810,16369
819,15384,16574,14838,16397
820,15415,16600,14866,16426
821,15447,16626,14894,16456
822,15477,16654,14922,16485
823,15505,16685,14950,16516
824,15531,16718,14978,16546
825,15556,16752,15005,16577
826,15581,16786,15033,16608
827,15608,16820,15061,16639
828,15638,16852,15090,16671
829,15670,16883,15121,16702
830,15705,16912,15153,16734
831,15740,16939,15185,16767
832,15775,16966,15218,16801
833,15809,16992,15249,16835
834,15843,17019,15281,16867
835,15875,17047,15311,16899
836,15907,17077,15342,16929
837,15941,17110,15373,16960
838,15974,17145,15406,16993
839,16008,17181,15440,17027
840,16042,17217,15475,17063
841,16075,17252,15511,17100
842,16107,17286,15546,17139
843,16138,17320,15580,17178
844,16170,17353,15614,17218
845,16203,17386,15648,17257
846,16238,17421,15683,17295
847,16274,17456,15719,17331
848,16312,17490,15755,17365
849,16349,17523,15790,17395
850,16384,17553,15822,17423
